34	89	69	25.1	0.82518
1	34	4	4.2	    0.70518
11	25	5	3.1	    0.78215
13	25	4	3.1	    0.79677
32	83	68	23.4	0.81234
29	84	63	23.7	0.82481
21	83	70	23.4	0.8839
35	86	62	24.3	0.84697
26	82	69	23.1	0.86388
15	35	5	4.3	    0.7999
2	35	6	4.3	    0.77884
16	28	5	3.5	    0.73908
4	27	2	3.3	    0.70772
24	88	66	24.8	0.85472
31	84	63	23.7	0.80071
20	34	3	4.2	    0.78415
36	87	65	24.5	0.83702
30	80	69	22.6	0.86342
39	84	62	23.7	0.87641
8	35	5	4.3	    0.79324
12	28	5	3.5	    0.78029
19	25	4	3.1	    0.74407
22	84	65	23.7	0.8827
28	90	70	25.4	0.83875
40	82	63	23.1	0.8874
14	35	3	4.3	    0.79016
7	27	3	3.3	    0.72287
27	84	63	23.7	0.84107
10	27	4	3.3	    0.78266
9	31	4	3.8	    0.71983
5	34	4	4.2	    0.72259
3	26	6	3.2	    0.71957
6	25	4	3.1	    0.77876
25	84	69	23.7	0.80294
38	84	68	23.7	0.83007
33	82	65	23.1	0.82657
37	86	61	24.3	0.87538
23	81	67	22.9	0.896
18	34	2	4.2	    0.74006
17	26	5	3.2	    0.75139
